id_cliente,nome,cognome,anno_nascita,canale_acquisizione,data_prima_visita
1,Francesco,Rossi,1990,Passaparola,2024-09-10
2,Andrea,Lombardi,2009,Passaparola,2024-09-04
3,Salvatore,Colombo,2008,Passaparola,2024-08-02
4,Fabio,De Luca,1998,Passaparola,2024-08-11
5,Stefano,Esposito,2000,Google,2024-08-06
6,Salvatore,Esposito,2003,Passaparola,2024-08-30
7,Enrico,Colombo,1963,Passaparola,2024-08-24
8,Sergio,Esposito,2003,Passaparola,2024-08-15
9,Davide,Fontana,1989,Google,2024-08-23
10,Salvatore,Mariani,1986,Passaparola,2024-08-11
11,Salvatore,Ricci,1996,Google,2024-09-14
12,Stefano,Marino,1963,Passaparola,2024-08-21
13,Gabriele,Conti,2013,Passaparola,2024-09-11
14,Claudio,Lombardi,2009,Passava davanti,2024-08-17
15,Lorenzo,Costa,1966,Google,2024-08-09
16,Federico,Moretti,1963,Passaparola,2024-09-13
17,Sergio,Rossi,1969,Instagram,2024-09-05
18,Francesco,Greco,2010,Passaparola,2024-08-22
19,Lorenzo,Rinaldi,1977,Instagram,2024-08-17
20,Lorenzo,Moretti,1980,Passaparola,2024-09-10
21,Filippo,Rossi,1996,Instagram,2024-09-03
22,Simone,Russo,1985,Passava davanti,2024-08-20
23,Vincenzo,Rizzo,1971,Passaparola,2024-08-05
24,Sergio,Moretti,2009,Passava davanti,2024-09-03
25,Antonio,Conti,2002,Passaparola,2024-09-15
26,Giovanni,Rossi,1984,Instagram,2024-08-05
27,Andrea,Martini,1959,Passava davanti,2024-08-15
28,Davide,Rizzo,1971,Google,2024-09-01
29,Emanuele,De Luca,1979,Passaparola,2024-08-31
30,Sergio,Mariani,1961,Instagram,2024-08-30
31,Emanuele,Galli,1968,Passaparola,2024-08-22
32,Giuseppe,Mancini,1986,Passava davanti,2024-08-12
33,Francesco,Russo,1956,Passava davanti,2024-09-05
34,Gabriele,Colombo,2006,Passava davanti,2024-09-01
35,Filippo,Caruso,2013,Passaparola,2024-08-17
36,Tommaso,Santoro,2017,Passaparola,2024-09-05
37,Luca,Mariani,1995,Passaparola,2024-09-04
38,Matteo,Russo,1965,Passava davanti,2024-09-03
39,Massimo,Lombardi,1986,Instagram,2024-08-16
40,Enrico,Giordano,1995,Passava davanti,2024-09-07
41,Stefano,Bianchi,1993,Instagram,2024-08-17
42,Enrico,Esposito,1964,Instagram,2024-09-09
43,Massimo,Ricci,2002,Passaparola,2024-08-05
44,Emanuele,Barbieri,1956,Instagram,2024-09-09
45,Giuseppe,Esposito,1968,Google,2024-08-09
46,Giovanni,Colombo,1988,Instagram,2024-09-15
47,Nicola,De Luca,1990,Passaparola,2024-08-06
48,Matteo,Mariani,2011,Instagram,2024-08-17
49,Massimo,Bianchi,1959,Google,2024-09-14
50,Antonio,Gallo,1960,Passava davanti,2024-08-03
51,Massimo,Galli,2007,Passava davanti,2024-08-23
52,Emanuele,Caruso,1977,Passava davanti,2024-08-11
53,Emanuele,Fontana,1986,Passaparola,2024-08-27
54,Sergio,Costa,1983,Passaparola,2024-08-03
55,Simone,Rossi,1979,Passaparola,2024-08-15
56,Riccardo,Barbieri,2006,Instagram,2024-08-18
57,Massimo,Marino,1977,Instagram,2024-08-08
58,Claudio,Caruso,1995,Passaparola,2024-08-23
59,Giuseppe,Russo,2010,Passaparola,2024-08-13
60,Davide,Gallo,2010,Passaparola,2024-09-12
61,Claudio,Martini,1993,Instagram,2024-09-12
62,Salvatore,Bianchi,1979,Passaparola,2024-08-19
63,Enrico,Greco,2006,Instagram,2024-09-09
64,Dario,Barbieri,1996,Instagram,2024-09-07
65,Tommaso,Ferrari,1991,Instagram,2024-08-11
66,Tommaso,Greco,1983,Google,2024-08-16
67,Dario,Galli,1964,Instagram,2024-08-31
68,Simone,Bianchi,1955,Passava davanti,2024-08-25
69,Simone,Romano,2014,Passaparola,2024-08-28
70,Emanuele,Mancini,1995,Passava davanti,2024-08-09
71,Federico,Ferrara,2012,Passava davanti,2024-09-02
72,Pietro,Barbieri,1990,Google,2024-08-16
73,Andrea,Santoro,1991,Passaparola,2024-08-29
74,Alessandro,Ricci,2004,Instagram,2024-08-09
75,Salvatore,Mancini,2008,Passaparola,2024-08-22
76,Fabio,Rossi,2003,Instagram,2024-09-07
77,Claudio,Rizzo,1983,Instagram,2024-08-27
78,Tommaso,Fontana,2006,Google,2024-08-22
79,Salvatore,Rossi,2005,Instagram,2024-09-09
80,Sergio,Mancini,1978,Passaparola,2024-08-09
81,Vincenzo,Martini,2003,Passaparola,2024-08-22
82,Marco,Mariani,1961,Passava davanti,2024-08-31
83,Luca,Rinaldi,1958,Passava davanti,2024-09-11
84,Alessandro,Costa,1969,Instagram,2024-08-16
85,Matteo,Moretti,1969,Google,2024-08-24
86,Filippo,Greco,2003,Passaparola,2024-08-02
87,Simone,Esposito,1993,Passava davanti,2024-09-10
88,Emanuele,Russo,1999,Instagram,2024-09-06
89,Marco,Galli,2008,Google,2024-08-22
90,Fabio,Bianchi,2010,Passaparola,2024-08-30
91,Enrico,Marino,1996,Passava davanti,2024-09-24
92,Paolo,Lombardi,2003,Passaparola,2024-09-25
93,Massimo,Moretti,1990,Instagram,2024-10-09
94,Federico,Costa,1985,Instagram,2024-10-24
95,Andrea,Greco,1983,Passaparola,2024-10-01
96,Salvatore,Giordano,1999,Passaparola,2024-10-16
97,Giuseppe,Greco,1987,Passaparola,2024-10-15
98,Vincenzo,Santoro,1978,Passaparola,2024-10-18
99,Antonio,Esposito,1979,Passaparola,2024-11-25
100,Alessandro,Marino,1960,Passava davanti,2024-11-18
101,Sergio,Rinaldi,2017,Passaparola,2024-11-21
102,Giovanni,Romano,1961,Passaparola,2024-11-15
103,Gabriele,Ferrari,1961,Passaparola,2024-11-13
104,Francesco,Rizzo,2008,Instagram,2024-11-08
105,Paolo,Leone,2011,Passaparola,2024-11-13
106,Luca,Moretti,1967,Passava davanti,2024-11-20
107,Andrea,Romano,1955,Passaparola,2024-12-18
108,Antonio,Santoro,1991,Google,2024-12-08
109,Nicola,Lombardi,1980,Passaparola,2024-12-09
110,Pietro,Bianchi,1964,Passaparola,2024-12-09
111,Paolo,Esposito,2014,Instagram,2024-12-19
112,Gabriele,Mancini,1965,Instagram,2024-12-18
113,Andrea,Ricci,1957,Passava davanti,2024-12-01
114,Vincenzo,Romano,2015,Instagram,2024-12-25
115,Federico,Barbieri,2017,Passava davanti,2024-12-19
116,Francesco,Galli,1975,Passaparola,2024-12-22
117,Pietro,Rinaldi,1959,Instagram,2024-12-13
118,Stefano,Galli,2020,Google,2025-01-25
119,Luca,Colombo,2001,Instagram,2025-01-14
120,Giuseppe,Rizzo,1971,Passava davanti,2025-01-07
121,Nicola,Moretti,1985,Google,2025-01-01
122,Simone,Ferrara,1969,Instagram,2025-01-03
123,Antonio,Giordano,1989,Passaparola,2025-01-23
124,Alessandro,Conti,1979,Passava davanti,2025-01-18
125,Federico,Bruno,2019,Passaparola,2025-02-28
126,Enrico,Fontana,2017,Passava davanti,2025-02-19
127,Stefano,Mancini,1996,Passava davanti,2025-02-18
128,Vincenzo,De Luca,1960,Passaparola,2025-02-28
129,Tommaso,Caruso,1974,Instagram,2025-02-13
130,Sergio,Galli,2011,Passaparola,2025-02-11
131,Nicola,Bianchi,1964,Instagram,2025-02-28
132,Andrea,Galli,1997,Passava davanti,2025-02-21
133,Fabio,Martini,2017,Passava davanti,2025-02-21
134,Simone,Mariani,1966,Passaparola,2025-03-22
135,Paolo,Romano,1993,Passava davanti,2025-03-04
136,Riccardo,De Luca,1973,Passaparola,2025-03-12
137,Matteo,Ferrari,2003,Instagram,2025-03-06
138,Paolo,Barbieri,1987,Instagram,2025-03-08
139,Tommaso,Rizzo,1975,Passaparola,2025-03-10
140,Fabio,Marino,2013,Google,2025-03-14
141,Simone,Conti,2000,Instagram,2025-03-04
142,Marco,Lombardi,1961,Passava davanti,2025-03-22
143,Emanuele,Gallo,1983,Instagram,2025-04-20
144,Nicola,Esposito,1960,Passaparola,2025-04-25
145,Andrea,Leone,1992,Passaparola,2025-04-05
146,Massimo,Gallo,2019,Passava davanti,2025-04-18
147,Emanuele,Greco,1998,Google,2025-04-16
148,Sergio,Fontana,2005,Passava davanti,2025-04-08
